"decision_date","company_ID","external_score_ver01","external_score_ver02","external_score_ver03","age","province","juridical_form","industry_sector","gross_margin_ratio","core_income_ratio","cash_asset_ratio","consolidated_liabilities_ratio","revenues","cr_available","region","geo_area","last_statement_age","days_to_default","target"
"2021-03-15",2718525170,5,1,"O",35,"MI","SR","Meccanica",0.163214166388239,-0.197939474957937,0.0920580262290278,0.49819579017708,33087,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-04-29",2092279910,6,3,"E",8,"CT","SR","Servizi",0.0805555555555556,0.9,0.857938718662953,0.733333333333333,30,"FALSE","Sicilia","Isole",2,1498,0
"2021-06-16",3537488890,5,1,"I",17,"RM","SR","Distribuzione",0.181229773462783,0.00730994152046784,0.0727396329027872,0.0588996763754045,4788,"TRUE","Lazio","Centro",2,1498,0
"2022-05-03",7977412130,7,1,"E",24,"PA","SR","Distribuzione",0.0836081017428168,0.0319343065693431,0.00352289884247609,0.634950541686293,2296,"TRUE","Sicilia","Isole",1,1498,0
"2022-04-05",4167086450,6,3,"H",4,"BA","SR","Servizi",0.269430051813472,0.10912343470483,0.190140845070423,0.7573402417962,1251,"TRUE","Puglia","Sud",1,1498,0
"2022-03-18",326698510,5,2,"P",12,"CT","SR","Servizi",0.877551020408163,0.217616580310881,0.209923664122137,0.605442176870748,437,"TRUE","Sicilia","Isole",2,1498,0
"2022-05-04",8804334380,5,2,"E",1,"MO","RS","Servizi",0.752808988764045,0.616161616161616,0,0.685393258426966,99,"FALSE","Emilia-Romagna","Nord-est",1,1498,0
"2022-05-17",656256790,7,1,"H",19,"RM","SR","Costruzioni e materiali per costruzioni",0.556489262371615,0.00446428571428571,0.0828460038986355,0.527544351073763,896,"TRUE","Lazio","Centro",2,1498,0
"2021-04-16",7452782360,8,3,"H",6,"SA","SR","Distribuzione",0.121863799283154,0.009428403064231,0.0689127105666156,0.0637992831541219,1697,"TRUE","Campania","Sud",2,1498,0
"2020-11-02",5620448560,7,1,"E",8,"BG","SR","Servizi",0.38412017167382,0.0437636761487965,0.0400943396226415,0.293991416309013,457,"TRUE","Lombardia","Nord-ovest",1,1037,1
"2021-11-25",7071566850,8,2,"M",6,"MB","SR","Distribuzione",0.346633416458853,0.0037243947858473,0.0666666666666667,0.169576059850374,541,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2021-12-09",7232586830,8,2,"H",4,"RM","SR","Distribuzione",0.292817679558011,0.088135593220339,0.0642201834862385,0.665745856353591,885,"TRUE","Lazio","Centro",1,1498,0
"2021-01-14",9359073070,4,2,"F",9,"RM","SR","Editoria e stampa",1.10285714285714,0.20856858186649,0.0420711974110032,0.900571428571429,3014,"TRUE","Lazio","Centro",2,1498,0
"2022-03-29",2439677980,5,1,"H",9,"TO","SR","Servizi",0.488549618320611,-0.0165365181442352,0.123307198859587,0.58863443596268,2278,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2021-07-22",2850916040,6,1,"I",2,"BG","SR","Meccanica",0.695906432748538,0.332326283987915,0.175757575757576,0.56140350877193,331,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2022-03-22",1616358240,8,1,"C",9,"TA","SR","Meccanica",0.274741081703107,0.0150170648464164,0.096474358974359,0.292865362485616,1465,"TRUE","Puglia","Sud",2,1498,0
"2022-01-11",7857752080,8,1,"M",4,"MI","SP","Distribuzione",0.0288517022504328,-0.0456231632702221,0.0491094409554206,0.318811309867282,20757,"TRUE","Lombardia","Nord-ovest",2,392,1
"2021-09-10",1047486810,5,1,"H",1,"PD","SR","Servizi",0.701388888888889,0.126126126126126,0.107491856677524,0.706018518518518,1110,"FALSE","Veneto","Nord-est",1,1498,0
"2022-05-30",2080087260,6,1,"F",22,"TO","SC","Servizi",0.141025641025641,-0.0707964601769911,0.781456953642384,0.583333333333333,128,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2021-09-20",1046531780,10,3,"L",1,"AV","RS","Distribuzione",0.315789473684211,0.454545454545455,0.157894736842105,0.421052631578947,11,"TRUE","Campania","Sud",2,1498,0
"2021-04-15",1062942560,4,2,"I",19,"CE","SR","Servizi",0.268518518518519,0.0437956204379562,0.106060606060606,0.540123456790123,411,"TRUE","Campania","Sud",2,1498,0
"2021-03-12",2324030130,5,1,"M",21,"VI","SU","Distribuzione",0.322981366459627,0.0457317073170732,0.190789473684211,0.291925465838509,328,"FALSE","Veneto","Nord-est",2,1498,0
"2021-05-20",9207229330,7,2,"I",3,"TP","SR","Costruzioni e materiali per costruzioni",0.649842271293375,0.0289555325749741,0.0369127516778524,0.170347003154574,909,"TRUE","Sicilia","Isole",2,1498,0
"2021-06-23",8507586090,5,3,"C",4,"RM","SR","Servizi",1.19811320754717,0,0.160377358490566,0.179245283018868,537,"FALSE","Lazio","Centro",2,1498,0
"2021-09-22",5390101010,7,3,"D",15,"CE","SR","Costruzioni e materiali per costruzioni",0.111111111111111,0.0511363636363636,0.193891102257636,0.34375,673,"TRUE","Campania","Sud",1,1498,0
"2022-06-28",2550170860,5,2,"E",2,"CE","SR","Sistema moda",0.457757296466974,0.0167949615115465,0.241042345276873,0.344086021505376,1433,"TRUE","Campania","Sud",1,1498,0
"2020-11-20",6029366020,5,2,"D",2,"MI","SR","Costruzioni e materiali per costruzioni",0.563380281690141,0.0812720848056537,0.157142857142857,0.422535211267606,849,"FALSE","Lombardia","Nord-ovest",1,1498,0
"2020-12-01",9153721350,6,1,"M",4,"AO","SR","Elettrodomestici",0.116106116106116,-0.57997256515775,0.0717272434866517,0.441447441447441,4300,"TRUE","Valle d'Aosta/Vallée d'Aoste","Nord-ovest",1,1498,0
"2021-06-22",1802016030,6,2,"D",2,"LO","RS","Distribuzione",0.142857142857143,0.00485436893203883,0.0526315789473684,0.0178571428571429,206,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2022-03-28",6331889760,7,1,"G",9,"VE","SR","Servizi",0.157142857142857,0.12043795620438,0.0163934426229508,0.372619047619048,274,"TRUE","Veneto","Nord-est",3,1498,0
"2021-03-16",3191089920,8,2,"I",3,"TO","SR","Costruzioni e materiali per costruzioni",0.178571428571429,0.0289855072463768,0.0272727272727273,0.0982142857142857,138,"TRUE","Piemonte","Nord-ovest",3,1498,0
"2022-04-11",3552865530,6,1,"N",25,"MB","SR","Metallurgia e prodotti in metallo",-0.0186335403726708,-0.394132653061224,0.194272445820433,0.691925465838509,1356,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-10-20",6886787550,8,1,"G",11,"VA","SR","Costruzioni e materiali per costruzioni",0.148717948717949,0.0602006688963211,0.0286458333333333,0.265384615384615,347,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2020-11-02",4782054000,7,3,"E",3,"PG","SR","Trasporti",1.17105263157895,0.242718446601942,0.454545454545455,0.921052631578947,206,"TRUE","Umbria","Centro",2,1498,0
"2021-07-02",11136400,7,3,"H",2,"LT","RS","Servizi",0.1,-0.327044025157233,0.472727272727273,0,177,"TRUE","Lazio","Centro",1,491,1
"2020-09-07",7735310560,7,2,"H",8,"BS","SU","Distribuzione",0.248917748917749,0.0208955223880597,0,0.285714285714286,670,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2021-10-05",2253561650,7,3,"D",3,"CS","RS","Distribuzione",-0.516616314199396,0.00961538461538462,0.0284090909090909,0.138972809667674,104,"TRUE","Calabria","Sud",1,1498,0
"2021-07-13",6980932150,6,2,"C",1,"BA","SR","Servizi",0.0761994355597366,0.0603248259860789,0.114877589453861,0.433678269049859,1293,"TRUE","Puglia","Sud",1,1498,0
"2022-03-16",4793655210,5,1,"F",2,"VR","SP","Distribuzione",0.0838466803559206,0.000279798545047566,0.218788627935723,0.779945242984257,3574,"TRUE","Veneto","Nord-est",2,1498,0
"2021-05-07",5361550700,10,3,"A",2,"MO","SR","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Emilia-Romagna","Nord-est",2,454,1
"2021-12-14",8911158300,7,2,"F",2,"PV","SR","Distribuzione",0.0189274447949527,0.00335570469798658,0.0191693290734824,0.110410094637224,894,"FALSE","Lombardia","Nord-ovest",1,325,1
"2021-11-28",9686015690,8,1,"D",16,"BG","SR","Costruzioni e materiali per costruzioni",0.13184584178499,0.00571428571428571,0.135245901639344,0.037525354969574,1095,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2020-11-03",9430336170,7,2,"F",6,"MI","SR","Costruzioni e materiali per costruzioni",0.336700336700337,0.0512820512820513,0.593023255813954,0.242424242424242,556,"FALSE","Lombardia","Nord-ovest",1,1498,0
"2020-07-31",2840323990,2,1,"E",6,"RM","SP","Utility",0.0797541298501729,0.00183621882005056,0.0812842599843383,0.289512101421437,42099,"TRUE","Lazio","Centro",2,1498,0
"2021-09-21",7631149400,8,3,"H",3,"CE","RS","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Campania","Sud",2,45,1
"2021-05-16",2877647800,5,2,"I",11,"SR","SR","Distribuzione",0.0159151193633952,0.0170994300189994,0.145161290322581,0.196286472148541,1579,"TRUE","Sicilia","Isole",2,1498,0
"2021-12-27",529736230,5,2,"H",5,"MI","SR","Trasporti",0.191236539175641,0.0489590110605075,0.0296371997956055,0.408095061269959,6479,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2022-05-17",7736800600,5,1,"G",13,"VI","SR","Sistema moda",0.120101538949706,0.0037400654511454,0.0178775199695702,0.312232270347454,6417,"TRUE","Veneto","Nord-est",2,1498,0
"2022-02-15",1367769870,6,3,"F",3,"CE","RS","Servizi",-0.0625,0.180327868852459,0.377049180327869,0.21875,65,"FALSE","Campania","Sud",2,1498,0
"2022-03-18",2818274320,6,1,"I",35,"PC","SU","Distribuzione",0.0766016713091922,0.0100806451612903,0.0929791271347249,0.534818941504178,496,"TRUE","Emilia-Romagna","Nord-est",2,1498,0
"2022-04-13",9465153500,9,1,"H",4,"MI","SR","Distribuzione",-0.419313850063532,-0.839310031774853,0.162352941176471,0,2580,"TRUE","Lombardia","Nord-ovest",2,483,1
"2021-03-10",8975210180,9,2,"D",6,"SA","SR","Distribuzione",0.257285974499089,0.0298398835516739,0.133067198935462,0.421675774134791,2748,"TRUE","Campania","Sud",2,1498,0
"2022-02-22",5690790310,8,2,"E",4,"VR","SR","Servizi",0.0702380952380952,0.0136054421768707,0.0132013201320132,0.375,590,"TRUE","Veneto","Nord-est",2,560,1
"2022-03-17",179880960,4,1,"H",7,"RM","CO","Servizi",0.348765432098765,0.062043795620438,0.0749128919860627,0.516975308641975,3288,"TRUE","Lazio","Centro",2,1498,0
"2022-02-25",8649286210,6,3,"E",2,"BR","RS","Chimica di base e intermedi",0.261904761904762,0.12,0.357142857142857,0.273809523809524,187,"FALSE","Puglia","Sud",2,1498,0
"2022-05-18",366933500,8,2,"I",14,"PA","SR","Costruzioni e materiali per costruzioni",0.439058171745152,0.0834437086092715,0.00609756097560976,0.57617728531856,762,"TRUE","Sicilia","Isole",2,1498,0
"2022-05-07",113375710,6,3,"O",4,"BN","SR","Distribuzione",0.348888888888889,0.139813581890812,0.288177339901478,0.453333333333333,751,"FALSE","Campania","Sud",2,1498,0
"2022-02-15",3738028730,5,1,"I",10,"MO","SR","Trasporti",0.0310816087465834,0.0610870610870611,0.0361596009975062,0.745880515423663,2092,"TRUE","Emilia-Romagna","Nord-est",2,1498,0
"2021-02-18",861529710,5,1,"H",20,"RC","SR","Servizi",0.202898550724638,0.0336134453781513,0.0416666666666667,0.449275362318841,119,"TRUE","Calabria","Sud",2,1498,0
"2020-08-28",8459517300,10,3,"B",3,"TO","SR","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2022-04-14",616605480,6,1,"D",41,"TO","SR","Metallurgia e prodotti in metallo",0.0766696955929123,0.00452961672473868,0.00119100789042727,0.535097682871422,6014,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2021-01-14",8116502670,6,1,"E",0,"SA","SR","Chimica di base e intermedi",0.180442374854482,0.067325598051855,0.0115511551155116,0.454132712456345,6955,"TRUE","Campania","Sud",2,1498,0
"2022-02-04",5832786480,8,3,"D",8,"CZ","SR","Servizi",0.273026315789474,0.0138121546961326,0.132450331125828,0.328947368421053,362,"TRUE","Calabria","Sud",3,1498,0
"2022-04-05",9920086040,7,1,"D",11,"FR","SR","Servizi",0.0344332855093257,-0.00950118764845606,0.00171232876712329,0.344332855093257,428,"TRUE","Lazio","Centro",2,1498,0
"2021-04-20",9046272440,8,1,"G",40,"FC","SR","Costruzioni e materiali per costruzioni",0.128805156172533,0.0173005433228482,0.00123500352858151,0.40426375805652,6982,"TRUE","Emilia-Romagna","Nord-est",3,838,1
"2021-04-26",5901139720,10,1,"D",0,"MI","SR","Distribuzione",0.229961682960403,0.0296371270618898,0,0.370582043783666,946,"TRUE","Lombardia","Nord-ovest",2,373,1
"2022-07-05",6340239650,6,3,"D",6,"RM","SR","Costruzioni e materiali per costruzioni",0.34251968503937,0.0406976744186047,0.0118110236220472,0.405511811023622,172,"TRUE","Lazio","Centro",2,1498,0
"2021-04-15",1524949920,6,1,"L",10,"CR","SU","Servizi",0.691287878787879,-0.0115183246073298,0.106194690265487,0.375,957,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2020-12-07",5664743250,6,1,"H",26,"RM","SR","Agricoltura",0.181141439205955,0.106666666666667,0.021505376344086,0.741935483870968,375,"TRUE","Lazio","Centro",1,1498,0
"2022-02-22",5482267700,7,2,"F",10,"MI","SU","Costruzioni e materiali per costruzioni",0.151278409090909,0.0912996777658432,0,0.379261363636364,936,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-10-21",1096400640,8,1,"I",5,"VE","SR","Servizi",0.0196078431372549,-0.315384615384615,0.0526315789473684,0.25,136,"TRUE","Veneto","Nord-est",1,1498,0
"2021-02-03",6414555600,4,1,"L",101,"TO","SU","Altri beni di consumo",0.0974849766303138,0.00559006211180124,0.00184259015530403,0.384153127086579,1754,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2022-02-28",6985320760,8,2,"B",5,"MB","SR","Distribuzione",0.126286248830683,0.0337233310392292,0.142292490118577,0.0420954162768943,1453,"TRUE","Lombardia","Nord-ovest",4,1498,0
"2021-09-14",1561810470,4,1,"I",23,"VR","SR","Distribuzione",0.336569579288026,0.0621212121212121,0.0378071833648393,0.453074433656958,1994,"TRUE","Veneto","Nord-est",1,1498,0
"2022-05-11",6862920420,6,1,"I",37,"MC","SR","Servizi",0.186915887850467,0.03125,0.0339943342776204,0.398130841121495,194,"TRUE","Marche","Centro",2,1498,0
"2022-01-12",8767545930,10,3,"I",2,"AG","RS","Distribuzione",0.229961682960403,0.0296371270618898,0,0.370582043783666,946,"TRUE","Sicilia","Isole",2,1498,0
"2020-08-31",105431790,6,1,"D",18,"RA","SR","Distribuzione",0.161086851043183,0.0292577764089929,0.0100727476217124,0.371664240659874,3247,"TRUE","Emilia-Romagna","Nord-est",2,1498,0
"2021-04-13",4287637530,6,3,"C",6,"RM","RS","Servizi",0.393939393939394,0.0826446280991736,0.21875,0.439393939393939,242,"FALSE","Lazio","Centro",3,1498,0
"2022-08-24",6512755720,6,2,"O",5,"VR","SR","Costruzioni e materiali per costruzioni",0.526729559748428,0.0270897832817337,0.207171314741036,0.292452830188679,1292,"TRUE","Veneto","Nord-est",1,1498,0
"2022-06-29",6831040500,7,2,"L",7,"MN","SR","Distribuzione",0.225806451612903,0.037712895377129,0.194013303769401,0.829493087557604,2475,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-09-10",1018257330,6,1,"E",16,"RG","SR","Costruzioni e materiali per costruzioni",0.146902654867257,0.0436953807740325,0.0659679408138101,0.396755162241888,1602,"TRUE","Sicilia","Isole",1,328,1
"2022-01-17",6799217900,9,2,"D",8,"TV","SR","Chimica di base e intermedi",0.166389351081531,0.0544554455445545,0.0625,0.72712146422629,482,"TRUE","Veneto","Nord-est",2,1498,0
"2021-06-30",7579169090,7,1,"E",11,"MI","SR","Distribuzione",0.114160700079554,0.0237720177574109,0.0407645014701951,0.175815433571997,13966,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2020-11-04",1087458110,3,1,"M",9,"AP","SR","Costruzioni e materiali per costruzioni",0.239862542955326,0.128564523924601,0.163793103448276,0.379725085910653,2069,"TRUE","Marche","Centro",1,1498,0
"2020-12-04",7868879310,8,3,"D",5,"CS","RS","Alimentare",0.56231884057971,0.174,0.0390243902439024,0.808695652173913,500,"TRUE","Calabria","Sud",1,794,1
"2021-02-25",8723090050,8,2,"I",5,"RA","SR","Servizi",0.204225352112676,0.0681818181818182,0.0726256983240224,0.0792253521126761,440,"TRUE","Emilia-Romagna","Nord-est",3,1498,0
"2020-12-23",1843603130,5,1,"D",6,"BS","SR","Metallurgia e prodotti in metallo",0.488356164383562,0.0308839190628328,0.00160128102481986,0.243150684931507,2068,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2022-07-26",8295793310,5,1,"H",7,"LU","SC","Agricoltura",0.214545454545455,0.118380062305296,0.346007604562738,0.4,358,"FALSE","Toscana","Centro",1,1498,0
"2022-01-11",5746336390,10,3,"A",2,"RM","RS","Costruzioni e materiali per costruzioni",0.457290586725803,0.0688915656160738,0,0.369088503259972,584,"TRUE","Lazio","Centro",2,113,1
"2021-06-11",2807008950,5,1,"C",6,"BS","SR","Chimica di base e intermedi",0.506760728982951,0.246603970741902,0.016849199663016,0.761316872427984,1914,"TRUE","Lombardia","Nord-ovest",2,703,1
"2022-04-19",8820983630,7,3,"H",5,"CE","RS","Distribuzione",0.0804597701149425,0.0294117647058824,0.658536585365854,0.195402298850575,170,"FALSE","Campania","Sud",2,1498,0
"2021-05-07",8856340890,6,1,"H",38,"VA","SR","Editoria e stampa",0.28976897689769,-0.0217509516041327,0.0139049826187717,0.583828382838284,1888,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2022-02-25",2508236360,8,1,"E",19,"RM","SR","Metallurgia e prodotti in metallo",0.0532612890775762,0.0926157697121402,0.0120096076861489,0.557699729834041,801,"TRUE","Lazio","Centro",2,275,1
"2020-12-23",3473246310,6,1,"F",3,"TO","SR","Altri beni di consumo",0.0905743740795287,-0.140350877192982,0.0506329113924051,0.351988217967599,1101,"TRUE","Piemonte","Nord-ovest",1,1498,0
"2021-06-14",2543007590,5,1,"P",11,"TO","SR","Metallurgia e prodotti in metallo",0.249299719887955,0.00649049605934168,0.0978956999085087,0.784713885554222,2157,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2021-09-01",9739420390,6,3,"H",4,"MC","SR","Distribuzione",-0.0335570469798658,0.00925925925925926,0.0202702702702703,0.140939597315436,108,"FALSE","Marche","Centro",2,1498,0
"2022-05-27",2718995090,5,1,"P",1,"BG","SR","Costruzioni e materiali per costruzioni",0.730077120822622,0.0965073529411765,0.850129198966408,0.313624678663239,1088,"TRUE","Lombardia","Nord-ovest",1,440,1
"2020-11-12",1834712170,8,3,"C",6,"TP","SR","Distribuzione",0.102803738317757,0.0205479452054795,0.0595238095238095,0.327102803738318,146,"TRUE","Sicilia","Isole",1,1498,0
"2021-06-30",7658222380,6,2,"C",3,"BS","RS","Meccanica",0.222222222222222,0.2,0,0.686868686868687,105,"FALSE","Lombardia","Nord-ovest",2,1498,0
"2021-03-18",6537057460,5,1,"D",3,"MI","SR","Servizi",0.245283018867925,0,0.211538461538462,0.0754716981132075,175,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-05-03",9408606620,5,2,"C",1,"SA","SR","Distribuzione",0.309871244635193,0.0717244386309134,0.0397553516819572,0.305579399141631,4587,"FALSE","Campania","Sud",3,1498,0
"2021-03-16",7387044780,5,2,"D",3,"MI","RS","Metallurgia e prodotti in metallo",0.476744186046512,0.0453172205438066,0.0238095238095238,0.261627906976744,331,"TRUE","Lombardia","Nord-ovest",2,653,1
"2021-02-04",7293213920,8,2,"G",3,"RM","SR","Distribuzione",0.148014440433213,0.128504672897196,0.0437956204379562,0.46028880866426,1284,"FALSE","Lazio","Centro",2,454,1
"2021-09-15",253421620,7,3,"D",5,"TP","SR","Costruzioni e materiali per costruzioni",0.628698224852071,0.487943262411348,1,0.853550295857988,707,"TRUE","Sicilia","Isole",1,1498,0
"2020-10-06",6923948070,10,3,"B",6,"TP","SR","Distribuzione",0.229961682960403,0.0296371270618898,0,0.370582043783666,946,"TRUE","Sicilia","Isole",2,388,1
"2021-08-06",1138641650,8,2,"D",2,"RM","SR","Distribuzione",0.197452229299363,0.0115942028985507,0.034965034965035,0.0191082802547771,345,"FALSE","Lazio","Centro",2,550,1
"2022-05-11",4268491370,4,1,"N",21,"RM","SR","Distribuzione",0.24295010845987,0.0533762057877814,0.118320610687023,0.389370932754881,1564,"TRUE","Lazio","Centro",2,1498,0
"2021-10-27",8661876540,10,1,"I",12,"VI","SR","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Veneto","Nord-est",2,1498,0
"2021-06-22",7787824740,8,3,"H",3,"MS","RS","Trasporti",0.495689655172414,0.0780487804878049,0.1875,0.21551724137931,437,"TRUE","Toscana","Centro",2,1498,0
"2021-03-09",9830051270,6,1,"C",5,"LU","RS","Distribuzione",0.184210526315789,0.0648648648648649,0.00943396226415094,0.139097744360902,185,"TRUE","Toscana","Centro",3,1498,0
"2021-02-18",1507007780,8,2,"I",5,"VB","SR","Metallurgia e prodotti in metallo",0.313984168865435,0.016304347826087,0,0.147757255936675,623,"TRUE","Piemonte","Nord-ovest",2,1498,0
"2021-07-13",1855692690,10,3,"B",15,"MI","SR","Costruzioni e materiali per costruzioni",0.457290586725803,0.0688915656160738,0,0.369088503259972,584,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2022-03-18",4567960440,6,1,"E",11,"AR","SC","Agricoltura",0.0326409495548961,-0.0581395348837209,0.0330578512396694,0.433234421364985,109,"TRUE","Toscana","Centro",2,1498,0
"2022-03-16",1989220010,9,3,"C",6,"PI","RS","Distribuzione",0.146017699115044,-0.0304347826086957,0.0922330097087379,0.63716814159292,232,"TRUE","Toscana","Centro",2,1498,0
"2021-04-20",943324670,6,3,"F",6,"SA","SR","Agricoltura",0.54679802955665,0.103448275862069,0.0736842105263158,0.251231527093596,320,"TRUE","Campania","Sud",2,1498,0
"2022-05-25",3705861400,8,2,"E",4,"VV","SR","Costruzioni e materiali per costruzioni",0.669463087248322,0.0420711974110032,0.0289855072463768,0.181208053691275,927,"TRUE","Calabria","Sud",1,1498,0
"2021-02-12",8691815130,6,3,"C",8,"RM","SR","Costruzioni e materiali per costruzioni",0.230994152046784,0.0490341753343239,0.0235756385068762,0.271929824561404,673,"TRUE","Lazio","Centro",2,1498,0
